<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20220129,000000,2161.8423291036,2206.7571246514,2118.622431501,2206.7571246514,58679462,20220129
20220130,000000,2287.2647770485,2287.2647770485,2170.3168188296,2203.367328761,70877982,20220130
20220131,000000,2201.6724308158,2306.7561034183,2135.571410953,2288.112226021,74669803,20220131
20220201,000000,2292.349470884,2320.3152869799,2221.1637571856,2238.1127366376,50726557,20220201
20220202,000000,2220.316308213,2257.6040630074,2190.655594172,2194.892839035,35314464,20220202
20220205,000000,2215.2316143774,2220.316308213,2169.469369857,2170.3168188296,50749506,20220205
20220206,000000,2166.0795739666,2166.0795739666,2084.7244725969,2084.7244725969,49626119,20220206
20220207,000000,2033.8775342409,2076.249982871,2018.6234527341,2040.6571260217,50534485,20220207
20220208,000000,2013.5387588985,2088.96171746,2013.5387588985,2042.3520239669,41170328,20220208
20220209,000000,2038.1147791039,2107.6055948572,2030.4877383505,2094.0464112956,32797209,20220209
20220212,000000,2107.6055948572,2108.4530438298,2041.5045749943,2058.4535544463,30214367,20220212
20220213,000000,2076.249982871,2076.249982871,1973.7086571863,1982.1831469123,49100553,20220213
20220214,000000,1974.5561061589,2019.4709017067,1963.5392695151,2002.5219222547,33346492,20220214
20220216,000000,2002.5219222547,2072.0127380079,1983.0305958849,2033.8775342409,41074011,20220216
20220219,000000,2033.8775342409,2050.8265136929,1993.1999835561,1994.8948815013,28715246,20220219
20220220,000000,1998.2846773917,2033.8775342409,1938.1158003371,1956.7596777343,37128654,20220220
20220221,000000,1974.5561061589,2013.5387588985,1944.8953921179,2008.4540650629,44506381,20220221
20220222,000000,1999.9795753369,2038.9622280765,1993.1999835561,2034.7249832135,31195380,20220222
20220223,000000,2038.1147791039,2061.8433503367,2025.4030445149,2045.7418198573,31851814,20220223
20220226,000000,2033.8775342409,2033.8775342409,1973.7086571863,1974.5561061589,25701494,20220226
20220227,000000,1991.5050856109,2009.3015140355,1951.6749838987,1994.8948815013,22874669,20220227
20220228,000000,1991.5050856109,2008.4540650629,1988.9627386931,1990.6576366383,26237828,20220228
20220302,000000,1999.9795753369,2014.3862078711,1963.5392695151,1966.0816164329,26962530,20220302
20220305,000000,1966.0816164329,2040.6571260217,1966.0816164329,2012.6913099259,68028611,20220305
20220306,000000,2038.1147791039,2101.673452049,2025.4030445149,2101.673452049,102492476,20220306
20220307,000000,2185.5709003364,2185.5709003364,2133.0290640352,2136.4188599256,181343106,20220307
20220308,000000,2118.622431501,2177.943859583,2113.5377376654,2122.859676364,53149154,20220308
20220309,000000,2117.7749825284,2160.994880131,2076.249982871,2084.7244725969,75715235,20220309
20220312,000000,2076.249982871,2084.7244725969,2026.2504934875,2033.8775342409,55560056,20220312
20220313,000000,2029.6402893779,2083.8770236243,2010.1489630081,2040.6571260217,40533583,20220313
20220314,000000,2057.6061054737,2072.0127380079,2016.9285547889,2033.8775342409,30518025,20220314
20220315,000000,2059.3010034189,2059.3010034189,2022.8606975971,2029.6402893779,34702275,20220315
20220316,000000,2042.3520239669,2111.8428397202,2033.8775342409,2095.7413092408,36185158,20220316
20220319,000000,2127.096921227,2176.2489616378,2096.5887582134,2154.2152883502,60009537,20220319
20220326,000000,2178.7913085556,2243.1974304732,2127.096921227,2243.1974304732,103904504,20220326
